"minitemp.NAME","minitemp.AGE","minitemp.POPEST2010_CIV"
"Illinois",0,79382
"Illinois",1,79877
"Illinois",2,82851
"Illinois",3,83524
"Illinois",4,83052
"Illinois",5,83164
"Illinois",6,84327
"Illinois",7,83543
"Illinois",8,83331
"Illinois",9,85468
"Illinois",10,86553
"Illinois",11,85096
"Illinois",12,85223
"Illinois",13,86004
"Illinois",14,86915
"Illinois",15,88953
"Illinois",16,90094
"Illinois",17,90285
"Illinois",18,88946
"Illinois",19,87925
"Illinois",20,87569
"Illinois",21,84153
"Illinois",22,84495
"Illinois",23,85438
"Illinois",24,87892
"Illinois",25,90113
"Illinois",26,88619
"Illinois",27,91036
"Illinois",28,91250
"Illinois",29,90864
"Illinois",30,93055
"Illinois",31,87567
"Illinois",32,85281
"Illinois",33,84941
"Illinois",34,82170
"Illinois",35,84110
"Illinois",36,81736
"Illinois",37,82972
"Illinois",38,86516
"Illinois",39,91220
"Illinois",40,91855
"Illinois",41,86568
"Illinois",42,85500
"Illinois",43,85963
"Illinois",44,87222
"Illinois",45,92499
"Illinois",46,94341
"Illinois",47,94752
"Illinois",48,95337
"Illinois",49,97419
"Illinois",50,98764
"Illinois",51,95812
"Illinois",52,95436
"Illinois",53,94030
"Illinois",54,91400
"Illinois",55,90562
"Illinois",56,86026
"Illinois",57,83212
"Illinois",58,79967
"Illinois",59,78292
"Illinois",60,75540
"Illinois",61,72704
"Illinois",62,72015
"Illinois",63,74825
"Illinois",64,55375
"Illinois",65,54234
"Illinois",66,53743
"Illinois",67,56578
"Illinois",68,50214
"Illinois",69,45702
"Illinois",70,43541
"Illinois",71,42104
"Illinois",72,40954
"Illinois",73,38073
"Illinois",74,37134
"Illinois",75,35923
"Illinois",76,33003
"Illinois",77,32838
"Illinois",78,32114
"Illinois",79,32308
"Illinois",80,31870
"Illinois",81,29506
"Illinois",82,28768
"Illinois",83,27751
"Illinois",84,25592
"Illinois",85,163300
