"minitemp.NAME","minitemp.AGE","minitemp.POPEST2010_CIV"
"Illinois",0,83334
"Illinois",1,83176
"Illinois",2,85780
"Illinois",3,86189
"Illinois",4,86596
"Illinois",5,87074
"Illinois",6,87755
"Illinois",7,87208
"Illinois",8,87049
"Illinois",9,88524
"Illinois",10,89815
"Illinois",11,88664
"Illinois",12,89320
"Illinois",13,89448
"Illinois",14,90792
"Illinois",15,93522
"Illinois",16,94623
"Illinois",17,95684
"Illinois",18,94568
"Illinois",19,90914
"Illinois",20,90368
"Illinois",21,86491
"Illinois",22,85604
"Illinois",23,85962
"Illinois",24,88703
"Illinois",25,91300
"Illinois",26,88829
"Illinois",27,90419
"Illinois",28,91112
"Illinois",29,90394
"Illinois",30,93032
"Illinois",31,87019
"Illinois",32,85393
"Illinois",33,84796
"Illinois",34,82214
"Illinois",35,84570
"Illinois",36,80966
"Illinois",37,81610
"Illinois",38,85496
"Illinois",39,89584
"Illinois",40,90763
"Illinois",41,85829
"Illinois",42,84349
"Illinois",43,84222
"Illinois",44,85920
"Illinois",45,90737
"Illinois",46,91788
"Illinois",47,91866
"Illinois",48,92235
"Illinois",49,94157
"Illinois",50,95294
"Illinois",51,92338
"Illinois",52,91878
"Illinois",53,90347
"Illinois",54,86777
"Illinois",55,86090
"Illinois",56,81798
"Illinois",57,78468
"Illinois",58,75447
"Illinois",59,72844
"Illinois",60,70421
"Illinois",61,67167
"Illinois",62,66322
"Illinois",63,68306
"Illinois",64,50174
"Illinois",65,48582
"Illinois",66,47667
"Illinois",67,49331
"Illinois",68,43115
"Illinois",69,38662
"Illinois",70,36121
"Illinois",71,34631
"Illinois",72,33450
"Illinois",73,30634
"Illinois",74,29357
"Illinois",75,28027
"Illinois",76,25045
"Illinois",77,24162
"Illinois",78,23069
"Illinois",79,22386
"Illinois",80,21673
"Illinois",81,19814
"Illinois",82,18553
"Illinois",83,17105
"Illinois",84,15201
"Illinois",85,73705
